NAME	STATUS	LOOKED_UP_SYMBOL	TITLE
SNTB2	valid_symbol	SNTB2	"syntrophin, beta 2 (dystrophin-associated protein A1, 59kDa, basic component 2)"
SERTAD3	valid_symbol	SERTAD3	SERTA domain containing 3
CRMP1	valid_symbol	CRMP1	collapsin response mediator protein 1
CDH11	valid_symbol	CDH11	"cadherin 11, type 2, OB-cadherin (osteoblast)"
PNUTL2	accession_or_alias	Sep-04	septin 4
MSP	accession_or_alias	LMLN	leishmanolysin-like (metallopeptidase M8 family)
LHX5	valid_symbol	LHX5	LIM homeobox 5
SH3BP5	valid_symbol	SH3BP5	SH3-domain binding protein 5 (BTK-associated)
CPEB3	valid_symbol	CPEB3	cytoplasmic polyadenylation element binding protein 3
MORF4	valid_symbol	MORF4	mortality factor 4
PRKD2	valid_symbol	PRKD2	protein kinase D2
C2ORF21	valid_symbol	C2ORF21	Chromosome 2 open reading frame 21
ZNF384	valid_symbol	ZNF384	zinc finger protein 384
LOC130617	valid_symbol	LOC130617	hypothetical protein BC018415
R-SPONDIN	valid_symbol	R-SPONDIN	R-spondin homolog (Xenopus laevis)
NUDT10	valid_symbol	NUDT10	nudix (nucleoside diphosphate linked moiety X)-type motif 10
F11R	valid_symbol	F11R	F11 receptor
KREMEN1	valid_symbol	KREMEN1	kringle containing transmembrane protein 1
DMP1	valid_symbol	DMP1	dentin matrix acidic phosphoprotein
STX18	valid_symbol	STX18	syntaxin 18
BBS4	valid_symbol	BBS4	Bardet-Biedl syndrome 4
MAML1	valid_symbol	MAML1	mastermind-like 1 (Drosophila)
DFFB	valid_symbol	DFFB	"DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase)"
SEPP1	valid_symbol	SEPP1	"selenoprotein P, plasma, 1"
LOC163590	accession_or_alias	TOR1AIP2	torsin A interacting protein 2
VMD2L1	valid_symbol	VMD2L1	vitelliform macular dystrophy 2-like 1
CDC14B	valid_symbol	CDC14B	CDC14 cell division cycle 14 homolog B (S. cerevisiae)
GPLD1	valid_symbol	GPLD1	glycosylphosphatidylinositol specific phospholipase D1
SMOC1	valid_symbol	SMOC1	SPARC related modular calcium binding 1
FLJ90231	valid_symbol	FLJ90231	hypothetical protein FLJ90231
PSEN1	valid_symbol	PSEN1	presenilin 1 (Alzheimer disease 3)
ALF	valid_symbol	ALF	TFIIA-alpha/beta-like factor
SF3B4	valid_symbol	SF3B4	"splicing factor 3b, subunit 4, 49kDa"
CLSTN2	valid_symbol	CLSTN2	calsyntenin 2
RASD1	valid_symbol	RASD1	"RAS, dexamethasone-induced 1"
PRKAG2	valid_symbol	PRKAG2	"protein kinase, AMP-activated, gamma 2 non-catalytic subunit"
CPNE1	valid_symbol	CPNE1	RNA binding motif protein 12
CD38	valid_symbol	CD38	CD38 antigen (p45)
GPR82	valid_symbol	GPR82	G protein-coupled receptor 82
MTPN	valid_symbol	MTPN	myotrophin
DPH2L1	valid_symbol	DPH2L1	diptheria toxin resistance protein required for diphthamide biosynthesis-like 1 (S. cerevisiae)
NMBR	valid_symbol	NMBR	neuromedin B receptor
PRX	valid_symbol	PRX	periaxin
GFI1B	valid_symbol	GFI1B	"growth factor independent 1B (potential regulator of CDKN1A, translocated in CML)"
MGC87149	accession_or_alias	PPP1R2P3	"protein phosphatase 1, regulatory (inhibitor) subunit 2 pseudogene 3"
DOCK11	valid_symbol	DOCK11	dedicator of cytokinesis 11
RHOQ	valid_symbol	RHOQ	"ras homolog gene family, member Q"
OR10J1	valid_symbol	OR10J1	"olfactory receptor, family 10, subfamily J, member 1"
IL5RA	valid_symbol	IL5RA	"interleukin 5 receptor, alpha"
AAT1	accession_or_alias	C3ORF15	Chromosome 3 open reading frame 15
IRS1	valid_symbol	IRS1	insulin receptor substrate 1
JMJD1A	valid_symbol	JMJD1A	jumonji domain containing 1A
FLJ14803	valid_symbol	FLJ14803	hypothetical protein FLJ14803
UNG	valid_symbol	UNG	uracil-DNA glycosylase
AGL	valid_symbol	AGL	"amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)"
MYH7	valid_symbol	MYH7	"myosin, heavy polypeptide 7, cardiac muscle, beta"
FLJ37266	valid_symbol	FLJ37266	hypothetical protein FLJ37266
TNFSF4	valid_symbol	TNFSF4	"tumor necrosis factor (ligand) superfamily, member 4 (tax-transcriptionally activated glycoprotein 1, 34kDa)"
SEC31L1	valid_symbol	SEC31L1	SEC31-like 1 (S. cerevisiae)
TBX5	valid_symbol	TBX5	T-box 5
MGC4645	accession_or_alias	WDR25	WD repeat domain 25
ZNF207	valid_symbol	ZNF207	zinc finger protein 207
NY-REN-58	valid_symbol	NY-REN-58	NY-REN-58 antigen
HNF4G	valid_symbol	HNF4G	"hepatocyte nuclear factor 4, gamma"
FLJ10597	accession_or_alias	C1ORF164	chromosome 1 open reading frame 164
GNRHR	valid_symbol	GNRHR	gonadotropin-releasing hormone receptor
ID2	valid_symbol	ID2	"inhibitor of DNA binding 2, dominant negative helix-loop-helix protein"
ZFYVE26	valid_symbol	ZFYVE26	"zinc finger, FYVE domain containing 26"
SSB3	valid_symbol	SSB3	SPRY domain-containing SOCS box protein SSB-3
MCF2	valid_symbol	MCF2	MCF.2 cell line derived transforming sequence
FOXG1B	valid_symbol	FOXG1B	forkhead box G1B
NAP1L1	valid_symbol	NAP1L1	nucleosome assembly protein 1-like 1
KLRG1	valid_symbol	KLRG1	"killer cell lectin-like receptor subfamily G, member 1"
RNF153	accession_or_alias	Mar-05	membrane-associated ring finger (C3HC4) 5
CSRP2BP	valid_symbol	CSRP2BP	CSRP2 binding protein
GRAP	valid_symbol	GRAP	GRB2-related adaptor protein
CHD2	valid_symbol	CHD2	chromodomain helicase DNA binding protein 2
C1QG	valid_symbol	C1QG	"complement component 1, q subcomponent, gamma polypeptide"
SLC4A7	valid_symbol	SLC4A7	"solute carrier family 4, sodium bicarbonate cotransporter, member 7"
BLCAP	valid_symbol	BLCAP	bladder cancer associated protein
CHST8	valid_symbol	CHST8	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 8
PRG-3	valid_symbol	PRG-3	plasticity related gene 3
NDFIP1	valid_symbol	NDFIP1	Nedd4 family interacting protein 1
PET112L	valid_symbol	PET112L	PET112-like (yeast)
ATOH8	valid_symbol	ATOH8	Atonal homolog 8 (Drosophila)
PAFAH1B3	valid_symbol	PAFAH1B3	"platelet-activating factor acetylhydrolase, isoform Ib, gamma subunit 29kDa"
PRRX1	valid_symbol	PRRX1	paired related homeobox 1
HIS1	accession_or_alias	HTN1	histatin 1
FLJ25692	accession_or_alias	C8ORF45	chromosome 8 open reading frame 45
CDK11	accession_or_alias	CDC2L6	cell division cycle 2-like 6 (CDK8-like)
C14ORF138	valid_symbol	C14ORF138	chromosome 14 open reading frame 138
AKT1S1	valid_symbol	AKT1S1	AKT1 substrate 1 (proline-rich)
FSTL1	valid_symbol	FSTL1	follistatin-like 1
MGC17330	valid_symbol	MGC17330	HGFL gene
KIF2	valid_symbol	KIF2	kinesin heavy chain member 2
C10ORF22	valid_symbol	C10ORF22	chromosome 10 open reading frame 22
MUSK	valid_symbol	MUSK	"muscle, skeletal, receptor tyrosine kinase"
HAT	valid_symbol	HAT	airway trypsin-like protease
COLEC12	valid_symbol	COLEC12	collectin sub-family member 12
MAFF	valid_symbol	MAFF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)
FOXA2	valid_symbol	FOXA2	forkhead box A2
COX7B	valid_symbol	COX7B	cytochrome c oxidase subunit VIIb
AAMP	valid_symbol	AAMP	"angio-associated, migratory cell protein"
LOC286016	valid_symbol	LOC286016	hypothetical protein LOC286016
SMPD3	valid_symbol	SMPD3	"sphingomyelin phosphodiesterase 3, neutral membrane (neutral sphingomyelinase II)"
MAT2A	valid_symbol	MAT2A	"methionine adenosyltransferase II, alpha"
CD3E	valid_symbol	CD3E	"CD3E antigen, epsilon polypeptide (TiT3 complex)"
BRPF1	valid_symbol	BRPF1	"Bromodomain and PHD finger containing, 1"
DCX	valid_symbol	DCX	"doublecortex; lissencephaly, X-linked (doublecortin)"
SLITRK1	valid_symbol	SLITRK1	"SLIT and NTRK-like family, member 1"
LBX1	valid_symbol	LBX1	transcription factor similar to D. melanogaster homeodomain protein lady bird late
PTPNS1	valid_symbol	PTPNS1	"protein tyrosine phosphatase, non-receptor type substrate 1"
EBF	valid_symbol	EBF	early B-cell factor
LOC153222	valid_symbol	LOC153222	adult retina protein
FLJ20315	valid_symbol	FLJ20315	hypothetical protein FLJ20315
LZTS2	valid_symbol	LZTS2	"leucine zipper, putative tumor suppressor 2"
FLJ13842	accession_or_alias	ZMAT4	"zinc finger, matrin type 4"
FLJ13273	valid_symbol	FLJ13273	hypothetical protein FLJ13273
WNT2	valid_symbol	WNT2	wingless-type MMTV integration site family member 2
TUBG1	valid_symbol	TUBG1	"tubulin, gamma 1"
CD24	valid_symbol	CD24	CD24 antigen (small cell lung carcinoma cluster 4 antigen)
CRH	valid_symbol	CRH	corticotropin releasing hormone
ZDHHC4	valid_symbol	ZDHHC4	"zinc finger, DHHC domain containing 4"
EFNA1	valid_symbol	EFNA1	ephrin-A1
SEC8L1	valid_symbol	SEC8L1	SEC8-like 1 (S. cerevisiae)
GPR22	valid_symbol	GPR22	G protein-coupled receptor 22
LOC81558	valid_symbol	LOC81558	C/EBP-induced protein
SLC25A28	valid_symbol	SLC25A28	"solute carrier family 25, member 28"
ELAVL2	valid_symbol	ELAVL2	"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)"
ISL1	valid_symbol	ISL1	"ISL1 transcription factor, LIM/homeodomain, (islet-1)"
GLRB	valid_symbol	GLRB	"glycine receptor, beta"
VIT	valid_symbol	VIT	vitrin
KCNN2	valid_symbol	KCNN2	"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2"
WASPIP	valid_symbol	WASPIP	Wiskott-Aldrich syndrome protein interacting protein
FLJ16046	accession_or_alias	TMPRSS11F	"transmembrane protease, serine 11F"
C18ORF10	valid_symbol	C18ORF10	chromosome 18 open reading frame 10
FLJ12892	accession_or_alias	CCDC14	coiled-coil domain containing 14
MGC54289	accession_or_alias	TMEM77	transmembrane protein 77
SEPHS1	valid_symbol	SEPHS1	selenophosphate synthetase 1
TAL1	valid_symbol	TAL1	T-cell acute lymphocytic leukemia 1
FLJ30296	accession_or_alias	PTCHD1	Patched domain containing 1
KRTAP19-7	valid_symbol	KRTAP19-7	keratin associated protein 19-7
PTOV1	valid_symbol	PTOV1	prostate tumor overexpressed gene 1
CREM	valid_symbol	CREM	cAMP responsive element modulator
CIR	accession_or_alias	KCNJ5	"potassium inwardly-rectifying channel, subfamily J, member 5"
MAPK8	valid_symbol	MAPK8	mitogen-activated protein kinase 8
ZDHHC15	valid_symbol	ZDHHC15	"zinc finger, DHHC domain containing 15"
ENPP6	valid_symbol	ENPP6	ectonucleotide pyrophosphatase/phosphodiesterase 6
PTPN22	valid_symbol	PTPN22	"protein tyrosine phosphatase, non-receptor type 22 (lymphoid)"
FGF9	valid_symbol	FGF9	fibroblast growth factor 9 (glia-activating factor)
CDH5	valid_symbol	CDH5	"cadherin 5, type 2, VE-cadherin (vascular epithelium)"
LOC151835	valid_symbol	LOC151835	copine family member
SEMA6C	valid_symbol	SEMA6C	"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C"
MAP4K5	valid_symbol	MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5
MAF	valid_symbol	MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)
FOXP1	valid_symbol	FOXP1	forkhead box P1
OLIG3	valid_symbol	OLIG3	oligodendrocyte transcription factor 3
DYRK3	valid_symbol	DYRK3	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3
HOXA10	valid_symbol	HOXA10	homeo box A10
PIK3CD	valid_symbol	PIK3CD	"phosphoinositide-3-kinase, catalytic, delta polypeptide"
NR2C2	valid_symbol	NR2C2	"nuclear receptor subfamily 2, group C, member 2"
PDGFB	valid_symbol	PDGFB	platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog)
ZCWCC2	valid_symbol	ZCWCC2	"zinc finger, CW-type with coiled-coil domain 2"
CXORF21	valid_symbol	CXORF21	Chromosome X open reading frame 21
FLJ14281	accession_or_alias	DNAJB14	"DnaJ (Hsp40) homolog, subfamily B, member 14"
HOOK1	valid_symbol	HOOK1	hook homolog 1 (Drosophila)
C5ORF13	valid_symbol	C5ORF13	chromosome 5 open reading frame 13
GUCA1C	valid_symbol	GUCA1C	guanylate cyclase activator 1C
DKFZP564M082	valid_symbol	DKFZP564M082	DKFZP564M082 protein
FLJ13910	valid_symbol	FLJ13910	hypothetical protein FLJ13910
LGR7	valid_symbol	LGR7	leucine-rich repeat-containing G protein-coupled receptor 7
COL1A2	valid_symbol	COL1A2	"collagen, type I, alpha 2"
NR1D1	valid_symbol	NR1D1	"nuclear receptor subfamily 1, group D, member 1"
GPRC5C	valid_symbol	GPRC5C	"G protein-coupled receptor, family C, group 5, member C"
PPP1CA	valid_symbol	PPP1CA	"protein phosphatase 1, catalytic subunit, alpha isoform"
HOXA9	valid_symbol	HOXA9	homeo box A9
PELO	valid_symbol	PELO	pelota homolog (Drosophila)
TM4SF13	accession_or_alias	TSPAN13	tetraspanin 13
ZNF533	valid_symbol	ZNF533	Zinc finger protein 533
NACSIN	accession_or_alias	EHBP1	EH domain binding protein 1
SCML4	valid_symbol	SCML4	sex comb on midleg-like 4 (Drosophila)
PCNX	valid_symbol	PCNX	pecanex homolog (Drosophila)
CNTF	valid_symbol	CNTF	ciliary neurotrophic factor
GPR12	valid_symbol	GPR12	G protein-coupled receptor 12
NRBF2	valid_symbol	NRBF2	nuclear receptor binding factor 2
FLJ35894	valid_symbol	FLJ35894	hypothetical protein FLJ35894
MAML2	valid_symbol	MAML2	Mastermind-like 2 (Drosophila)
CLDN7	valid_symbol	CLDN7	claudin 7
RNF111	valid_symbol	RNF111	ring finger protein 111
MLP	accession_or_alias	CSRP3	cysteine and glycine-rich protein 3 (cardiac LIM protein)
GABARAPL1	valid_symbol	GABARAPL1	GABA(A) receptor-associated protein like 1
LPHN1	valid_symbol	LPHN1	latrophilin 1
NPM3	valid_symbol	NPM3	"nucleophosmin/nucleoplasmin, 3"
NUDT3	valid_symbol	NUDT3	nudix (nucleoside diphosphate linked moiety X)-type motif 3
MLL5	valid_symbol	MLL5	"myeloid/lymphoid or mixed-lineage leukemia 5 (trithorax homolog, Drosophila)"
MR-1	valid_symbol	MR-1	myofibrillogenesis regulator 1
CKAP4	valid_symbol	CKAP4	cytoskeleton-associated protein 4
CKLFSF6	valid_symbol	CKLFSF6	chemokine-like factor super family 6
DNAH7	valid_symbol	DNAH7	"dynein, axonemal, heavy polypeptide 7"
AKAP1	valid_symbol	AKAP1	A kinase (PRKA) anchor protein 1
BRIP1	valid_symbol	BRIP1	BRCA1 interacting protein C-terminal helicase 1
SEMA4G	valid_symbol	SEMA4G	"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4G"
CORO1C	valid_symbol	CORO1C	"coronin, actin binding protein, 1C"
CLK4	valid_symbol	CLK4	CDC-like kinase 4
MYOCD	valid_symbol	MYOCD	Myocardin
UBE2R2	valid_symbol	UBE2R2	ubiquitin-conjugating enzyme E2R 2
SLC26A6	valid_symbol	SLC26A6	"solute carrier family 26, member 6"
C1ORF19	valid_symbol	C1ORF19	chromosome 1 open reading frame 19
CYR61	valid_symbol	CYR61	"cysteine-rich, angiogenic inducer, 61"
NRK	valid_symbol	NRK	Nik related kinase
MAB21L2	valid_symbol	MAB21L2	mab-21-like 2 (C. elegans)
CPEB4	valid_symbol	CPEB4	cytoplasmic polyadenylation element binding protein 4
PLCB2	valid_symbol	PLCB2	"phospholipase C, beta 2"
MAP3K3	valid_symbol	MAP3K3	mitogen-activated protein kinase kinase kinase 3
GABRG1	valid_symbol	GABRG1	"gamma-aminobutyric acid (GABA) A receptor, gamma 1"
H2AFY	valid_symbol	H2AFY	"H2A histone family, member Y"
C14ORF114	valid_symbol	C14ORF114	chromosome 14 open reading frame 114
WHSC1	valid_symbol	WHSC1	Wolf-Hirschhorn syndrome candidate 1
PME-1	valid_symbol	PME-1	protein phosphatase methylesterase-1
ANK3	valid_symbol	ANK3	"ankyrin 3, node of Ranvier (ankyrin G)"
MGC33867	accession_or_alias	KIAA2013	KIAA2013
FLJ46020	valid_symbol	FLJ46020	FLJ46020 protein
ZFPM2	valid_symbol	ZFPM2	"zinc finger protein, multitype 2"
SMBP	valid_symbol	SMBP	SM-11044 binding protein
INHBC	valid_symbol	INHBC	"inhibin, beta C"
SSBP3	valid_symbol	SSBP3	single stranded DNA binding protein 3
GAB2	valid_symbol	GAB2	GRB2-associated binding protein 2
SLC6A1	valid_symbol	SLC6A1	"solute carrier family 6 (neurotransmitter transporter, GABA), member 1"
IBSP	valid_symbol	IBSP	"integrin-binding sialoprotein (bone sialoprotein, bone sialoprotein II)"
IQCB1	valid_symbol	IQCB1	IQ motif containing B1
SLC19A2	valid_symbol	SLC19A2	"solute carrier family 19 (thiamine transporter), member 2"
PDLIM4	valid_symbol	PDLIM4	PDZ and LIM domain 4
C6ORF65	valid_symbol	C6ORF65	chromosome 6 open reading frame 65
MARK3	valid_symbol	MARK3	MAP/microtubule affinity-regulating kinase 3
SERP1	valid_symbol	SERP1	Stress-associated endoplasmic reticulum protein 1
CAPON	accession_or_alias	NOS1AP	nitric oxide synthase 1 (neuronal) adaptor protein
PENK	valid_symbol	PENK	proenkephalin
ABLIM1	valid_symbol	ABLIM1	actin binding LIM protein 1
SIAT7E	valid_symbol	SIAT7E	"sialyltransferase 7 ((alpha-N-acetylneuraminyl-2,3-beta-galactosyl-1,3)-N-acetyl galactosaminide alpha-2,6-sialyltransferase) E"
FOXB1	valid_symbol	FOXB1	forkhead box B1
RAB11-FIP2	accession_or_alias	RAB11FIP2	RAB11 family interacting protein 2 (class I)
PKIA	valid_symbol	PKIA	"protein kinase (cAMP-dependent, catalytic) inhibitor alpha"
HOXC6	valid_symbol	HOXC6	homeo box C6
ISYNA1	valid_symbol	ISYNA1	myo-inositol 1-phosphate synthase A1
ARF1	valid_symbol	ARF1	ADP-ribosylation factor 1
TOB1	valid_symbol	TOB1	"transducer of ERBB2, 1"
RAB33A	valid_symbol	RAB33A	"RAB33A, member RAS oncogene family"
MSX1	valid_symbol	MSX1	msh homeo box homolog 1 (Drosophila)
KLF7	valid_symbol	KLF7	Kruppel-like factor 7 (ubiquitous)
CD74	valid_symbol	CD74	"CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)"
CBLB	valid_symbol	CBLB	Cas-Br-M (murine) ecotropic retroviral transforming sequence b
C9ORF77	valid_symbol	C9ORF77	chromosome 9 open reading frame 77
HOXD13	valid_symbol	HOXD13	homeo box D13
NEK11	valid_symbol	NEK11	NIMA (never in mitosis gene a)- related kinase 11
MRPL11	valid_symbol	MRPL11	mitochondrial ribosomal protein L11
ITGA3	valid_symbol	ITGA3	"integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)"
TOM1L2	valid_symbol	TOM1L2	target of myb1-like 2 (chicken)
NF1	valid_symbol	NF1	"neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)"
PPAT	valid_symbol	PPAT	phosphoribosyl pyrophosphate amidotransferase
TFAP4	valid_symbol	TFAP4	transcription factor AP-4 (activating enhancer binding protein 4)
TFB1M	valid_symbol	TFB1M	"transcription factor B1, mitochondrial"
SLC9A3R1	valid_symbol	SLC9A3R1	"solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulatory factor 1"
PKD1L3	valid_symbol	PKD1L3	polycystic kidney disease 1-like 3
EPHB3	valid_symbol	EPHB3	EphB3
MAPK3	valid_symbol	MAPK3	mitogen-activated protein kinase 3
ZNFN1A3	valid_symbol	ZNFN1A3	"zinc finger protein, subfamily 1A, 3 (Aiolos)"
HOMER2	valid_symbol	HOMER2	homer homolog 2 (Drosophila)
GMFB	valid_symbol	GMFB	"glia maturation factor, beta"
TIAF1	valid_symbol	TIAF1	TGFB1-induced anti-apoptotic factor 1
MGC57827	accession_or_alias	FAM72A	"family with sequence similarity 72, member A"
FLJ32028	valid_symbol	FLJ32028	hypothetical protein FLJ32028
FLJ30213	accession_or_alias	YPEL4	yippee-like 4 (Drosophila)
PRKRA	valid_symbol	PRKRA	"protein kinase, interferon-inducible double stranded RNA dependent activator"
HOXB7	valid_symbol	HOXB7	homeo box B7
RHOB	valid_symbol	RHOB	"ras homolog gene family, member B"
TIMM9	valid_symbol	TIMM9	translocase of inner mitochondrial membrane 9 homolog (yeast)
DLC2	accession_or_alias	STARD13	START domain containing 13
DKFZP564G2022	valid_symbol	DKFZP564G2022	DKFZP564G2022 protein
FLJ21839	valid_symbol	FLJ21839	hypothetical protein FLJ21839
PAICS	valid_symbol	PAICS	"phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase"
TRPC4	valid_symbol	TRPC4	"transient receptor potential cation channel, subfamily C, member 4"
TIC	accession_or_alias	PSD4	pleckstrin and Sec7 domain containing 4
IL1F9	valid_symbol	IL1F9	"interleukin 1 family, member 9"
EDG1	valid_symbol	EDG1	"endothelial differentiation, sphingolipid G-protein-coupled receptor, 1"
TMEFF1	valid_symbol	TMEFF1	transmembrane protein with EGF-like and two follistatin-like domains 1
EXTL3	valid_symbol	EXTL3	exostoses (multiple)-like 3
MGC34774	valid_symbol	MGC34774	ribosomal protein L13A-like
AQP11	valid_symbol	AQP11	aquaporin 11
C14ORF131	valid_symbol	C14ORF131	chromosome 14 open reading frame 131
PDCD2	valid_symbol	PDCD2	programmed cell death 2
POU2F1	valid_symbol	POU2F1	"POU domain, class 2, transcription factor 1"
ZBTB2	valid_symbol	ZBTB2	zinc finger and BTB domain containing 2
FGD4	valid_symbol	FGD4	"FGD1 family, member 4"
LOC92906	valid_symbol	LOC92906	hypothetical protein BC008217
PPM1L	valid_symbol	PPM1L	protein phosphatase 1 (formerly 2C)-like
SCAM-1	accession_or_alias	SORBS3	sorbin and SH3 domain containing 3
SOST	valid_symbol	SOST	sclerosteosis
FLJ33620	accession_or_alias	WDR49	WD repeat domain 49
NCALD	valid_symbol	NCALD	neurocalcin delta
MGC20741	accession_or_alias	USP49	ubiquitin specific protease 49
KCNA1	valid_symbol	KCNA1	"potassium voltage-gated channel, shaker-related subfamily, member 1 (episodic ataxia with myokymia)"
KBTBD5	valid_symbol	KBTBD5	kelch repeat and BTB (POZ) domain containing 5
ZNF288	accession_or_alias	ZBTB20	zinc finger and BTB domain containing 20
ENTH	valid_symbol	ENTH	enthoprotin
KIAA1841	valid_symbol	KIAA1841	KIAA1841 protein
SPO11	valid_symbol	SPO11	SPO11 meiotic protein covalently bound to DSB-like (S. cerevisiae)
HDGF	valid_symbol	HDGF	hepatoma-derived growth factor (high-mobility group protein 1-like)
DDX25	valid_symbol	DDX25	DEAD (Asp-Glu-Ala-Asp) box polypeptide 25
NSF	valid_symbol	NSF	N-ethylmaleimide-sensitive factor
MAP3K13	valid_symbol	MAP3K13	mitogen-activated protein kinase kinase kinase 13
KIAA1221	accession_or_alias	ZNF644	Zinc finger protein 644
KBTBD10	valid_symbol	KBTBD10	kelch repeat and BTB (POZ) domain containing 10
PFKFB3	valid_symbol	PFKFB3	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"
C1S	valid_symbol	C1S	"complement component 1, s subcomponent"
FLJ32955	valid_symbol	FLJ32955	hypothetical protein FLJ32955
C15ORF5	valid_symbol	C15ORF5	chromosome 15 open reading frame 5
EN2	valid_symbol	EN2	engrailed homolog 2
ARAF1	accession_or_alias	ARAF	v-raf murine sarcoma 3611 viral oncogene homolog
IGFBP1	valid_symbol	IGFBP1	insulin-like growth factor binding protein 1
GRM3	valid_symbol	GRM3	"glutamate receptor, metabotropic 3"
C6ORF11	valid_symbol	C6ORF11	chromosome 6 open reading frame 11
TTN	valid_symbol	TTN	titin
FLJ37549	valid_symbol	FLJ37549	hypothetical protein FLJ37549
ZNFN1A4	valid_symbol	ZNFN1A4	"zinc finger protein, subfamily 1A, 4 (Eos)"
HS6ST2	valid_symbol	HS6ST2	heparan sulfate 6-O-sulfotransferase 2
AGR2	valid_symbol	AGR2	anterior gradient 2 homolog (Xenopus laevis)
AP1S2	valid_symbol	AP1S2	"adaptor-related protein complex 1, sigma 2 subunit"
C9ORF65	valid_symbol	C9ORF65	chromosome 9 open reading frame 65
MIS12	valid_symbol	MIS12	homolog of yeast Mis12
SEMA6D	valid_symbol	SEMA6D	"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D"
RORB	valid_symbol	RORB	RAR-related orphan receptor B
CDX4	valid_symbol	CDX4	caudal type homeo box transcription factor 4
SPATS2	valid_symbol	SPATS2	"spermatogenesis associated, serine-rich 2"
BDG29	accession_or_alias	ZCCHC14	"zinc finger, CCHC domain containing 14"
PAG	accession_or_alias	PAG1	phosphoprotein associated with glycosphingolipid microdomains 1
ITGB4	valid_symbol	ITGB4	"integrin, beta 4"
TRIM14	valid_symbol	TRIM14	tripartite motif-containing 14
NDUFS4	valid_symbol	NDUFS4	"NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase)"
HAND2	valid_symbol	HAND2	heart and neural crest derivatives expressed 2
GSH1	valid_symbol	GSH1	GS homeobox 1
ZADH2	valid_symbol	ZADH2	"zinc binding alcohol dehydrogenase, domain containing 2"
ARCH	accession_or_alias	ZBTB8OS	zinc finger and BTB domain containing 8 opposite strand
URB	valid_symbol	URB	steroid sensitive gene 1
MCM7	valid_symbol	MCM7	MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)
C7ORF29	valid_symbol	C7ORF29	chromosome 7 open reading frame 29
FLJ45187	valid_symbol	FLJ45187	FLJ45187 protein
MARCKS	valid_symbol	MARCKS	myristoylated alanine-rich protein kinase C substrate
E(Y)2	valid_symbol	E(Y)2	e(y)2 protein
GSS	valid_symbol	GSS	Glutathione synthetase
FLJ44874	valid_symbol	FLJ44874	FLJ44874 protein
ALDH1A1	valid_symbol	ALDH1A1	"aldehyde dehydrogenase 1 family, member A1"
SILV	valid_symbol	SILV	silver homolog (mouse)
GATA6	valid_symbol	GATA6	GATA binding protein 6
CACNA2D3	valid_symbol	CACNA2D3	"calcium channel, voltage-dependent, alpha 2/delta 3 subunit"
TAIP-2	valid_symbol	TAIP-2	TGF-beta induced apotosis protein 2
FAM31B	accession_or_alias	DENND1B	DENN/MADD domain containing 1B
SPG4	valid_symbol	SPG4	spastic paraplegia 4 (autosomal dominant; spastin)
EHF	valid_symbol	EHF	ets homologous factor
FLJ10747	accession_or_alias	TMEM57	transmembrane protein 57
SCG3	valid_symbol	SCG3	Secretogranin III
ESRRG	valid_symbol	ESRRG	estrogen-related receptor gamma
DKFZP566M114	valid_symbol	DKFZP566M114	hypothetical protein DKFZp566M114
CHS1	accession_or_alias	VPS13B	vacuolar protein sorting 13B (yeast)
PELI2	valid_symbol	PELI2	pellino homolog 2 (Drosophila)
SLC22A8	valid_symbol	SLC22A8	"solute carrier family 22 (organic anion transporter), member 8"
ESM1	valid_symbol	ESM1	endothelial cell-specific molecule 1
FLI1	valid_symbol	FLI1	Friend leukemia virus integration 1
PDE1A	valid_symbol	PDE1A	"phosphodiesterase 1A, calmodulin-dependent"
RNF138	valid_symbol	RNF138	ring finger protein 138
MGC34648	accession_or_alias	FAM76A	"family with sequence similarity 76, member A"
C9ORF86	valid_symbol	C9ORF86	chromosome 9 open reading frame 86
